location_state,response,coverage,education,employmentstatus,gender,income,location_code,marital_status,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,policy_type,policy,renew_offer_type,sales_channel,total_claim_amount,vehicle_class,vehicle_size,high_value,Campaign_A,probability_high_value
Oregon,No,Premium,Bachelor,Unemployed,M,0,Suburban,Divorced,104,35,79,0,3,Personal Auto,Personal L2,Offer1,Agent,499.2,Four-Door Car,Medsize,1,Yes,0.9948561862666168
Arizona,Yes,Basic,Bachelor,Employed,F,39854,Urban,Divorced,66,6,4,0,7,Personal Auto,Personal L2,Offer2,Web,261.930545,Two-Door Car,Medsize,1,Yes,0.9847049472355274
Nevada,Yes,Basic,Master,Employed,F,36650,Rural,Married,69,2,70,1,1,Corporate Auto,Corporate L3,Offer2,Web,56.60333000000001,Four-Door Car,Large,0,No,0.006780920587381534
California,No,Extended,High School or Below,Employed,F,32756,Urban,Married,93,18,67,0,2,Personal Auto,Personal L3,Offer1,Agent,381.118731,Two-Door Car,Medsize,1,Yes,0.9963484161004948
Nevada,No,Extended,College,Employed,M,36268,Suburban,Single,86,2,22,1,2,Personal Auto,Personal L3,Offer2,Agent,531.164627,Four-Door Car,Small,1,Yes,0.9959507510427036
Oregon,Yes,Basic,Bachelor,Disabled,F,23815,Suburban,Married,73,4,47,0,2,Personal Auto,Personal L3,Offer2,Call Center,424.330166,Four-Door Car,Medsize,1,Yes,0.9951973998629576
Arizona,Yes,Basic,College,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Corporate Auto,Corporate L3,Offer1,Agent,513.6,SUV,Medsize,1,Yes,0.9947088291633231
Nevada,No,Basic,High School or Below,Employed,M,39188,Suburban,Divorced,74,9,2,0,3,Personal Auto,Personal L3,Offer3,Web,355.2,Four-Door Car,Medsize,1,Yes,0.9928402590465688
Nevada,Yes,Basic,College,Employed,M,58089,Suburban,Married,118,31,83,0,1,Personal Auto,Personal L3,Offer1,Agent,566.4,SUV,Medsize,0,No,0.009316264644019894
Oregon,No,Basic,High School or Below,Employed,F,62120,Rural,Married,74,5,39,0,8,Corporate Auto,Corporate L3,Offer4,Agent,28.31732,Four-Door Car,Medsize,1,Yes,0.9901645450672244
Oregon,No,Basic,High School or Below,Disabled,F,26540,Suburban,Married,69,15,4,0,1,Personal Auto,Personal L2,Offer2,Branch,378.432035,Four-Door Car,Medsize,0,No,0.0070854410924586185
California,Yes,Basic,College,Retired,M,28215,Suburban,Single,65,15,26,0,3,Personal Auto,Personal L3,Offer1,Agent,468.0,Two-Door Car,Medsize,0,No,0.03357476087255545
Nevada,No,Extended,Doctor,Employed,F,61675,Urban,Married,123,35,54,0,2,Corporate Auto,Corporate L1,Offer1,Call Center,482.550044,SUV,Medsize,1,Yes,0.9964974255235588
California,No,Basic,Master,Unemployed,M,0,Suburban,Married,100,16,36,0,2,Personal Auto,Personal L3,Offer1,Agent,480.0,Sports Car,Large,1,Yes,0.9957120836357928
Nevada,No,Basic,College,Employed,F,69600,Urban,Married,74,35,28,0,1,Personal Auto,Personal L1,Offer2,Web,341.396161,Four-Door Car,Small,0,No,0.007491003412853067
California,No,Basic,College,Employed,F,40982,Rural,Married,62,6,88,0,1,Corporate Auto,Corporate L1,Offer1,Web,106.665934,Four-Door Car,Medsize,0,No,0.006041328372186822
Oregon,Yes,Basic,Bachelor,Employed,M,74015,Suburban,Single,72,12,61,0,6,Personal Auto,Personal L3,Offer2,Call Center,471.443077,Four-Door Car,Small,1,Yes,0.9901512203050288
California,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,94,6,61,0,1,Personal Auto,Personal L3,Offer1,Agent,1121.876091,Two-Door Car,Large,0,No,0.009000867434193436
Oregon,No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,79,28,94,0,1,Personal Auto,Personal L2,Offer1,Branch,509.02810199999993,Four-Door Car,Medsize,0,No,0.007731423675616259
Arizona,No,Premium,College,Medical Leave,M,29439,Suburban,Divorced,146,4,10,0,2,Personal Auto,Personal L3,Offer1,Call Center,700.8,SUV,Large,1,Yes,0.9972873669183506
Oregon,No,Basic,College,Unemployed,M,0,Suburban,Single,108,26,94,0,4,Personal Auto,Personal L1,Offer1,Branch,518.4,Sports Car,Small,1,Yes,0.9895249718097644
Arizona,Yes,Basic,Bachelor,Employed,M,74015,Suburban,Single,72,12,61,0,6,Personal Auto,Personal L1,Offer2,Call Center,471.443077,Four-Door Car,Small,1,Yes,0.9901512203050288
Arizona,No,Extended,College,Employed,F,67881,Suburban,Married,79,6,70,0,4,Personal Auto,Personal L2,Offer3,Branch,391.039166,Two-Door Car,Medsize,1,Yes,0.9936187504283356
Nevada,No,Extended,High School or Below,Employed,F,96162,Urban,Single,97,9,91,0,4,Corporate Auto,Corporate L3,Offer2,Agent,376.569009,Four-Door Car,Small,1,Yes,0.9947998799849008
California,No,Basic,College,Employed,F,39049,Urban,Married,63,30,34,0,2,Personal Auto,Personal L2,Offer2,Agent,294.75626,Two-Door Car,Medsize,1,Yes,0.9923768302472248
Oregon,No,Basic,Doctor,Disabled,M,29808,Rural,Married,105,18,38,1,3,Personal Auto,Personal L1,Offer1,Call Center,52.456587,SUV,Medsize,1,Yes,0.9934502972197302
California,No,Extended,Master,Employed,F,65727,Urban,Married,134,14,15,0,6,Corporate Auto,Corporate L2,Offer1,Agent,363.995013,SUV,Medsize,1,Yes,0.9971026219945641
Washington,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,62,30,29,1,1,Personal Auto,Personal L2,Offer1,Web,446.4,Four-Door Car,Large,0,No,0.0054752482105199
California,Yes,Basic,High School or Below,Retired,F,22283,Suburban,Divorced,65,16,93,0,1,Corporate Auto,Corporate L3,Offer1,Branch,572.072106,Four-Door Car,Medsize,0,No,0.006080400357331562
Washington,No,Basic,College,Employed,F,37435,Urban,Single,105,3,22,0,1,Personal Auto,Personal L3,Offer3,Branch,314.4415850000001,SUV,Medsize,0,No,0.007657698240086565
Oregon,No,Basic,College,Employed,M,27756,Suburban,Married,71,6,52,0,8,Corporate Auto,Corporate L3,Offer1,Agent,735.733206,Two-Door Car,Small,1,Yes,0.9861688596284188
Arizona,No,Basic,High School or Below,Employed,M,86876,Rural,Married,68,9,3,0,2,Personal Auto,Personal L3,Offer4,Call Center,118.810361,Four-Door Car,Medsize,1,Yes,0.9955111971768208
California,No,Premium,Bachelor,Unemployed,M,0,Suburban,Single,114,21,41,0,4,Personal Auto,Personal L2,Offer1,Branch,863.861736,Four-Door Car,Medsize,1,Yes,0.9950624825415304
California,No,Extended,High School or Below,Employed,F,34062,Suburban,Married,91,23,51,0,3,Corporate Auto,Corporate L3,Offer3,Agent,603.350571,Four-Door Car,Medsize,1,Yes,0.9962786313355384
Oregon,Yes,Basic,High School or Below,Unemployed,M,0,Suburban,Married,73,17,44,0,7,Personal Auto,Personal L3,Offer2,Call Center,496.474767,Two-Door Car,Medsize,1,Yes,0.9787050424224116
Washington,No,Basic,College,Unemployed,F,0,Suburban,Single,69,7,10,0,1,Corporate Auto,Corporate L1,Offer1,Branch,331.2,Four-Door Car,Large,0,No,0.007074002826111878
Arizona,No,Extended,College,Employed,F,78358,Suburban,Married,128,6,75,0,3,Corporate Auto,Corporate L1,Offer3,Agent,614.4,SUV,Medsize,1,Yes,0.9971083297625041
California,No,Basic,Bachelor,Medical Leave,F,12222,Suburban,Married,67,8,70,1,1,Corporate Auto,Corporate L3,Offer3,Agent,321.6,Two-Door Car,Medsize,0,No,0.0067127546545951615
California,No,Basic,Bachelor,Employed,F,41247,Suburban,Divorced,64,17,6,0,1,Personal Auto,Personal L3,Offer4,Web,307.2,Two-Door Car,Large,0,No,0.0065638661640964
California,Yes,Extended,College,Retired,F,13663,Suburban,Single,97,1,66,0,2,Corporate Auto,Corporate L1,Offer1,Branch,465.6,Four-Door Car,Small,1,Yes,0.9965044270365584
Nevada,No,Basic,College,Disabled,F,25531,Suburban,Married,74,27,52,0,1,Personal Auto,Personal L3,Offer1,Agent,355.2,Two-Door Car,Small,0,No,0.008529743253864587
Nevada,No,Basic,College,Employed,M,58643,Urban,Divorced,74,33,58,0,3,Personal Auto,Personal L1,Offer3,Agent,329.46648,Four-Door Car,Medsize,1,Yes,0.9937331177102868
Oregon,No,Basic,Bachelor,Employed,M,48107,Suburban,Divorced,190,6,34,2,2,Corporate Auto,Corporate L2,Offer1,Call Center,912.0,Luxury SUV,Small,1,Yes,0.9967169354527016
Washington,No,Premium,Bachelor,Medical Leave,F,18643,Suburban,Married,119,34,41,0,5,Corporate Auto,Corporate L2,Offer1,Agent,571.2,Four-Door Car,Medsize,1,Yes,0.9946361655504988
Nevada,No,Premium,College,Unemployed,F,0,Urban,Married,102,13,89,0,2,Personal Auto,Personal L2,Offer4,Agent,401.528957,Two-Door Car,Medsize,1,Yes,0.9961402852333778
Oregon,No,Basic,Master,Employed,M,58645,Urban,Married,110,15,44,0,2,Personal Auto,Personal L2,Offer2,Agent,427.723646,SUV,Medsize,1,Yes,0.9958578575249558
Oregon,No,Premium,Bachelor,Employed,F,95058,Rural,Married,177,11,90,0,1,Personal Auto,Personal L3,Offer2,Agent,89.712324,SUV,Small,1,Yes,0.9930813388654136
Washington,No,Extended,Bachelor,Unemployed,F,0,Suburban,Single,87,16,83,0,8,Corporate Auto,Corporate L3,Offer3,Agent,1032.609293,Four-Door Car,Medsize,1,Yes,0.9927765654764644
Oregon,No,Basic,High School or Below,Medical Leave,F,19715,Suburban,Married,66,25,11,4,5,Personal Auto,Personal L3,Offer1,Web,475.2,Four-Door Car,Small,0,No,0.13091945140344075
Nevada,No,Basic,Master,Employed,F,68787,Rural,Married,66,7,64,0,1,Personal Auto,Personal L3,Offer4,Call Center,105.379402,Four-Door Car,Medsize,0,No,0.006863145848410674
Nevada,No,Basic,Bachelor,Employed,M,29056,Suburban,Married,66,19,2,0,2,Personal Auto,Personal L3,Offer2,Branch,355.531267,Two-Door Car,Medsize,1,Yes,0.9951265932492424
Oregon,No,Basic,College,Employed,F,47829,Suburban,Married,117,23,37,1,1,Personal Auto,Personal L3,Offer3,Call Center,561.6,SUV,Medsize,0,No,0.007784692244810109
Arizona,No,Premium,Bachelor,Disabled,F,13128,Suburban,Married,118,11,21,0,1,Personal Auto,Personal L1,Offer4,Call Center,771.878514,Four-Door Car,Medsize,0,No,0.007312247217911925
California,No,Extended,College,Employed,F,58946,Urban,Married,121,5,87,0,1,Personal Auto,Personal L3,Offer1,Agent,486.720776,SUV,Medsize,0,No,0.028975496060297094
Oregon,No,Basic,College,Employed,M,31614,Urban,Single,71,26,69,0,4,Personal Auto,Personal L3,Offer2,Branch,234.683628,Four-Door Car,Medsize,1,Yes,0.9786706938971756
California,No,Basic,Bachelor,Employed,F,44667,Urban,Single,65,25,53,0,2,Personal Auto,Personal L2,Offer1,Web,245.661376,Four-Door Car,Medsize,1,Yes,0.9950625166578284
Oregon,No,Premium,College,Unemployed,M,0,Suburban,Single,111,33,76,0,1,Personal Auto,Personal L3,Offer3,Agent,937.824847,Four-Door Car,Small,0,No,0.00928653994520835
California,No,Basic,High School or Below,Employed,M,91512,Suburban,Married,189,6,86,0,1,Personal Auto,Personal L3,Offer3,Branch,907.2,Luxury Car,Medsize,1,Yes,0.993417243907887
Oregon,No,Basic,High School or Below,Medical Leave,F,26540,Suburban,Divorced,69,13,65,1,5,Personal Auto,Personal L1,Offer2,Call Center,331.2,Four-Door Car,Medsize,1,Yes,0.8419177238755007
Oregon,No,Basic,Bachelor,Unemployed,M,0,Suburban,Single,103,35,76,0,1,Personal Auto,Personal L2,Offer1,Agent,741.6,SUV,Medsize,0,No,0.008353952490665175
Nevada,No,Basic,High School or Below,Employed,M,38798,Urban,Married,72,24,48,0,1,Personal Auto,Personal L3,Offer2,Web,332.945455,Four-Door Car,Medsize,0,No,0.007022702978799042
Oregon,No,Basic,Bachelor,Unemployed,F,0,Suburban,Married,117,0,6,0,4,Personal Auto,Personal L3,Offer1,Call Center,561.6,Sports Car,Medsize,1,Yes,0.9914930095781436
Oregon,No,Basic,Bachelor,Employed,F,65629,Rural,Married,64,21,28,0,3,Personal Auto,Personal L3,Offer4,Call Center,89.411365,Four-Door Car,Large,1,Yes,0.98498012323073
Nevada,No,Basic,Master,Employed,F,33291,Rural,Married,73,30,2,1,2,Personal Auto,Personal L3,Offer1,Agent,172.22616499999995,Four-Door Car,Medsize,1,Yes,0.995697709128228
California,No,Extended,College,Employed,F,57264,Rural,Divorced,84,0,30,1,2,Personal Auto,Personal L3,Offer1,Branch,129.249842,Four-Door Car,Medsize,1,Yes,0.9963276628942672
California,No,Basic,Bachelor,Employed,F,60970,Rural,Divorced,110,20,10,0,2,Personal Auto,Personal L3,Offer1,Agent,94.496547,SUV,Medsize,1,Yes,0.9961854538126602
Oregon,No,Basic,College,Employed,M,34220,Suburban,Married,109,23,71,1,1,Corporate Auto,Corporate L3,Offer2,Branch,523.2,SUV,Medsize,0,No,0.007784692244810109
Arizona,Yes,Basic,Master,Employed,M,88997,Rural,Divorced,72,9,71,0,3,Personal Auto,Personal L3,Offer2,Branch,174.041566,Four-Door Car,Small,1,Yes,0.9937337259839932
Arizona,No,Basic,Doctor,Medical Leave,M,18779,Urban,Married,63,10,65,0,4,Personal Auto,Personal L3,Offer3,Agent,215.255721,Four-Door Car,Large,0,No,0.052270435406193784
Oregon,Yes,Basic,College,Employed,M,50825,Urban,Married,102,3,46,0,3,Corporate Auto,Corporate L3,Offer1,Agent,369.614729,SUV,Medsize,1,Yes,0.9957872281929654
Arizona,No,Extended,High School or Below,Unemployed,M,0,Suburban,Single,86,18,41,0,1,Personal Auto,Personal L3,Offer1,Web,569.1304230000002,Four-Door Car,Medsize,0,No,0.008430440390307267
California,No,Basic,High School or Below,Employed,F,29218,Suburban,Married,72,33,40,0,2,Personal Auto,Personal L1,Offer3,Agent,502.369442,Four-Door Car,Medsize,1,Yes,0.9952710129353259
California,Yes,Basic,High School or Below,Employed,M,95697,Rural,Married,61,16,55,0,1,Special Auto,Special L3,Offer2,Agent,114.273025,Two-Door Car,Medsize,0,No,0.005747776042838767
Oregon,No,Basic,Doctor,Employed,F,61486,Urban,Married,70,2,65,0,3,Personal Auto,Personal L3,Offer2,Call Center,334.13351,Two-Door Car,Medsize,1,Yes,0.9937890862315564
Arizona,No,Basic,Bachelor,Unemployed,F,0,Suburban,Married,68,6,25,0,2,Personal Auto,Personal L3,Offer3,Call Center,326.4,Four-Door Car,Medsize,1,Yes,0.99431703165557
Oregon,No,Basic,Bachelor,Disabled,F,17723,Suburban,Married,72,3,40,0,3,Personal Auto,Personal L3,Offer1,Agent,345.6,Two-Door Car,Medsize,1,Yes,0.9880318040643092
California,Yes,Basic,High School or Below,Employed,M,72421,Suburban,Married,65,8,23,0,1,Personal Auto,Personal L2,Offer2,Call Center,312.0,Four-Door Car,Small,0,No,0.006888021680862961
California,No,Extended,College,Employed,F,36510,Urban,Married,84,10,36,0,6,Personal Auto,Personal L3,Offer1,Call Center,286.781601,Four-Door Car,Medsize,1,Yes,0.9951874528750996
Oregon,No,Basic,Bachelor,Employed,M,35396,Suburban,Divorced,70,32,12,0,3,Personal Auto,Personal L3,Offer4,Call Center,336.0,Two-Door Car,Medsize,1,Yes,0.9914326986281601
Oregon,No,Basic,College,Employed,F,69230,Urban,Married,63,31,13,0,1,Special Auto,Special L2,Offer3,Agent,283.241868,Four-Door Car,Medsize,0,No,0.008217831781919635
Washington,No,Premium,Master,Employed,F,28054,Urban,Married,195,1,63,1,1,Corporate Auto,Corporate L1,Offer3,Agent,571.6632559999998,SUV,Medsize,1,Yes,0.9907768254235828
California,No,Premium,College,Medical Leave,F,25866,Suburban,Married,109,20,56,0,1,Personal Auto,Personal L2,Offer1,Agent,523.2,Four-Door Car,Small,0,No,0.009400263100720918
Oregon,No,Premium,Bachelor,Medical Leave,F,23675,Suburban,Married,117,4,31,0,7,Personal Auto,Personal L2,Offer1,Branch,707.925645,Four-Door Car,Medsize,1,Yes,0.9941947278623976
California,No,Basic,Master,Unemployed,M,0,Suburban,Married,71,22,45,0,1,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize,0,No,0.0073382679290946405
Nevada,Yes,Basic,Bachelor,Unemployed,F,0,Suburban,Married,66,6,71,2,1,Personal Auto,Personal L3,Offer2,Call Center,433.160284,Four-Door Car,Large,0,No,0.006176575997680602
California,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,68,16,81,0,6,Personal Auto,Personal L3,Offer1,Branch,326.4,Two-Door Car,Medsize,0,No,0.07513237407279696
Nevada,Yes,Basic,College,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal Auto,Personal L3,Offer2,Agent,701.7082389999997,Sports Car,Medsize,0,No,0.008169784214526259
Oregon,No,Basic,College,Employed,M,23706,Suburban,Married,68,1,56,1,2,Corporate Auto,Corporate L3,Offer3,Web,326.4,Four-Door Car,Medsize,1,Yes,0.9941788565115984
Arizona,No,Extended,College,Unemployed,M,0,Suburban,Married,131,0,80,0,1,Personal Auto,Personal L1,Offer2,Agent,628.8,SUV,Large,0,No,0.1790852477320228
Washington,No,Extended,Bachelor,Unemployed,M,0,Suburban,Single,85,34,31,0,3,Corporate Auto,Corporate L3,Offer2,Call Center,872.2039269999997,Four-Door Car,Small,1,Yes,0.9949633699742793
Nevada,No,Basic,Master,Employed,F,83527,Rural,Married,64,19,27,1,3,Personal Auto,Personal L1,Offer2,Branch,39.127298,Two-Door Car,Large,1,Yes,0.9593187958441
Arizona,Yes,Extended,High School or Below,Employed,M,26876,Suburban,Single,76,17,72,0,8,Personal Auto,Personal L3,Offer1,Agent,364.8,Four-Door Car,Medsize,1,Yes,0.9928258499058028
Arizona,No,Extended,High School or Below,Employed,F,55099,Rural,Divorced,122,33,86,0,3,Corporate Auto,Corporate L3,Offer2,Branch,260.265417,Sports Car,Medsize,1,Yes,0.9960928431957096
Arizona,No,Basic,College,Employed,F,71661,Suburban,Married,65,7,92,0,4,Personal Auto,Personal L3,Offer4,Branch,312.0,Four-Door Car,Small,1,Yes,0.9730384162888884
Oregon,No,Extended,Bachelor,Medical Leave,M,18047,Suburban,Married,242,5,50,0,2,Personal Auto,Personal L1,Offer1,Call Center,1350.379181,Luxury SUV,Medsize,1,Yes,0.9974424487699416
Washington,No,Basic,College,Employed,M,90893,Rural,Married,70,8,82,0,1,Personal Auto,Personal L3,Offer1,Agent,70.71250699999999,Two-Door Car,Medsize,0,No,0.008788229525175283
Nevada,No,Premium,College,Employed,M,90016,Rural,Married,102,28,34,4,2,Personal Auto,Personal L2,Offer1,Web,20.405935,Four-Door Car,Medsize,1,Yes,0.9960649149202092
California,No,Extended,Bachelor,Employed,M,81285,Suburban,Single,81,18,2,2,1,Personal Auto,Personal L3,Offer1,Branch,441.765368,Four-Door Car,Medsize,0,No,0.008395816618439666
Nevada,No,Basic,Bachelor,Employed,F,96950,Suburban,Married,115,20,74,0,2,Personal Auto,Personal L2,Offer4,Agent,633.132017,Sports Car,Large,1,Yes,0.9956790271139084
California,No,Basic,Doctor,Employed,M,24814,Suburban,Single,69,31,48,0,2,Special Auto,Special L1,Offer2,Call Center,331.2,Two-Door Car,Medsize,1,Yes,0.9945321288667308
Oregon,No,Extended,High School or Below,Unemployed,F,0,Suburban,Single,90,14,16,3,2,Corporate Auto,Corporate L3,Offer1,Agent,648.0,Two-Door Car,Medsize,1,Yes,0.9901867253844956
Nevada,No,Basic,Bachelor,Unemployed,M,0,Rural,Married,61,17,14,1,1,Personal Auto,Personal L3,Offer4,Web,60.5975,Two-Door Car,Medsize,0,No,0.005481954941270836
Oregon,No,Premium,Master,Employed,F,52572,Urban,Divorced,113,30,22,0,3,Personal Auto,Personal L2,Offer1,Agent,441.623031,Four-Door Car,Medsize,1,Yes,0.9960933021912414
Arizona,No,Extended,Doctor,Unemployed,M,0,Suburban,Married,85,27,29,0,1,Corporate Auto,Corporate L2,Offer2,Call Center,595.160486,Two-Door Car,Large,0,No,0.007106442658141425
California,No,Basic,High School or Below,Employed,F,41701,Rural,Married,68,16,74,0,2,Corporate Auto,Corporate L3,Offer1,Agent,64.646458,Four-Door Car,Medsize,1,Yes,0.9956717022982045
Oregon,No,Basic,College,Unemployed,M,0,Suburban,Divorced,104,26,66,0,2,Personal Auto,Personal L3,Offer2,Agent,499.2,Sports Car,Medsize,1,Yes,0.994905585366891
Arizona,No,Extended,High School or Below,Unemployed,M,0,Suburban,Married,80,7,77,0,2,Corporate Auto,Corporate L2,Offer1,Agent,384.0,Four-Door Car,Medsize,1,Yes,0.9955734738347388
California,No,Basic,Bachelor,Employed,M,34179,Suburban,Married,107,15,26,0,2,Corporate Auto,Corporate L3,Offer2,Web,770.4,Sports Car,Medsize,1,Yes,0.9955040519540456
Oregon,Yes,Extended,Bachelor,Retired,M,27681,Suburban,Married,83,13,62,0,9,Personal Auto,Personal L2,Offer2,Agent,398.4,Two-Door Car,Medsize,1,Yes,0.9939534676128532
Arizona,No,Basic,Bachelor,Unemployed,M,0,Suburban,Divorced,73,34,2,0,4,Corporate Auto,Corporate L3,Offer2,Branch,359.35328,Four-Door Car,Small,0,No,0.4794178805094701
Washington,No,Basic,Bachelor,Unemployed,F,0,Suburban,Single,70,19,66,1,2,Personal Auto,Personal L3,Offer2,Agent,504.0,Four-Door Car,Medsize,1,Yes,0.9909868733643548
Washington,No,Basic,High School or Below,Employed,F,78494,Rural,Married,69,21,53,0,2,Personal Auto,Personal L3,Offer3,Branch,78.189401,Two-Door Car,Medsize,1,Yes,0.9954006898408888
Nevada,No,Basic,College,Unemployed,F,0,Suburban,Single,66,18,95,2,1,Personal Auto,Personal L3,Offer1,Branch,316.8,Two-Door Car,Medsize,0,No,0.006469814158353675
Oregon,No,Premium,Bachelor,Employed,M,56044,Suburban,Married,182,27,32,0,2,Personal Auto,Personal L3,Offer1,Agent,952.849701,SUV,Small,1,Yes,0.9974327468947802
Oregon,Yes,Basic,College,Employed,M,37937,Suburban,Married,116,11,42,0,5,Personal Auto,Personal L3,Offer2,Call Center,556.8,SUV,Medsize,1,Yes,0.994029892120666
Arizona,No,Basic,High School or Below,Employed,F,77853,Rural,Single,106,12,76,0,1,Personal Auto,Personal L2,Offer1,Branch,165.23744399999995,SUV,Medsize,0,No,0.008926167390840473
Arizona,Yes,Extended,College,Employed,F,72608,Suburban,Married,82,26,19,3,8,Personal Auto,Personal L1,Offer2,Agent,393.6,Four-Door Car,Medsize,1,Yes,0.9855558217194672
California,No,Extended,High School or Below,Employed,M,36568,Suburban,Married,128,28,34,0,6,Personal Auto,Personal L3,Offer1,Agent,978.621302,SUV,Medsize,1,Yes,0.9960509303904426
Arizona,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,110,17,58,2,3,Personal Auto,Personal L3,Offer2,Branch,796.987409,SUV,Medsize,1,Yes,0.9937998257637036
Washington,No,Extended,Bachelor,Employed,F,59578,Urban,Married,98,1,50,1,1,Corporate Auto,Corporate L3,Offer1,Branch,403.67601,Four-Door Car,Medsize,0,No,0.008855926632416812
Oregon,No,Basic,High School or Below,Employed,M,26032,Suburban,Married,109,18,25,0,3,Personal Auto,Personal L2,Offer2,Web,638.098653,SUV,Medsize,1,Yes,0.9955750884065662
Oregon,No,Basic,High School or Below,Employed,M,39618,Suburban,Married,68,0,55,0,1,Corporate Auto,Corporate L3,Offer1,Agent,326.4,Four-Door Car,Small,0,No,0.008404590534848036
Arizona,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,65,8,47,0,1,Personal Auto,Personal L3,Offer3,Agent,625.483498,Four-Door Car,Medsize,0,No,0.005499794656812634
California,No,Extended,College,Employed,M,59438,Urban,Single,124,33,55,0,1,Special Auto,Special L2,Offer3,Branch,562.667789,SUV,Small,0,No,0.2476816907077765
Washington,Yes,Basic,High School or Below,Unemployed,F,0,Suburban,Divorced,112,12,93,0,3,Personal Auto,Personal L3,Offer1,Web,537.6,Sports Car,Medsize,1,Yes,0.9928324749902974
Washington,No,Extended,Bachelor,Unemployed,M,0,Urban,Single,87,2,55,0,1,Personal Auto,Personal L3,Offer1,Branch,401.484738,Four-Door Car,Medsize,0,No,0.007875689649123151
Washington,Yes,Basic,Bachelor,Employed,F,89451,Rural,Single,63,11,2,0,1,Personal Auto,Personal L3,Offer2,Web,61.769564,Four-Door Car,Medsize,0,No,0.007599657623249445
Arizona,No,Extended,High School or Below,Employed,M,44695,Rural,Divorced,91,26,88,0,2,Personal Auto,Personal L3,Offer1,Call Center,147.954285,Four-Door Car,Medsize,1,Yes,0.9963484161004948
California,No,Premium,High School or Below,Employed,F,24581,Suburban,Married,101,2,86,0,2,Personal Auto,Personal L3,Offer1,Branch,484.8,Four-Door Car,Medsize,1,Yes,0.9963484161004948
Arizona,No,Basic,Bachelor,Unemployed,M,0,Urban,Married,73,27,95,1,6,Personal Auto,Personal L2,Offer2,Call Center,194.944319,Four-Door Car,Medsize,1,Yes,0.8291012785478442
Arizona,No,Extended,Bachelor,Employed,F,72334,Urban,Married,129,26,66,3,6,Corporate Auto,Corporate L2,Offer3,Call Center,412.829624,SUV,Medsize,1,Yes,0.9930341975052228
Oregon,No,Extended,High School or Below,Medical Leave,M,19831,Suburban,Married,83,8,88,0,7,Personal Auto,Personal L2,Offer1,Agent,398.4,Four-Door Car,Medsize,1,Yes,0.9936277356119452
California,No,Extended,High School or Below,Employed,M,40361,Rural,Married,98,3,98,0,1,Personal Auto,Personal L3,Offer2,Branch,71.169255,Four-Door Car,Medsize,0,No,0.007064070043186605
California,No,Premium,Bachelor,Employed,M,74656,Urban,Divorced,111,0,6,0,2,Personal Auto,Personal L2,Offer3,Call Center,504.365927,Four-Door Car,Medsize,1,Yes,0.99597362565507
Oregon,No,Extended,Master,Employed,M,25358,Suburban,Single,126,1,13,0,2,Personal Auto,Personal L1,Offer4,Branch,750.58561,SUV,Medsize,1,Yes,0.9964851455099276
California,No,Extended,Bachelor,Employed,M,35461,Rural,Married,95,26,57,1,1,Corporate Auto,Corporate L3,Offer1,Agent,9.214343,Four-Door Car,Medsize,0,No,0.00896220409147526
California,No,Extended,Doctor,Employed,M,59047,Suburban,Divorced,76,2,73,3,2,Personal Auto,Personal L3,Offer1,Web,364.8,Four-Door Car,Medsize,1,Yes,0.9942848231427448
Nevada,No,Extended,College,Employed,F,62409,Urban,Divorced,89,16,50,0,2,Personal Auto,Personal L2,Offer2,Agent,392.686432,Four-Door Car,Small,1,Yes,0.99597362565507
California,Yes,Extended,College,Employed,F,93272,Urban,Married,95,3,54,0,1,Personal Auto,Personal L3,Offer2,Branch,281.110788,Four-Door Car,Medsize,0,No,0.007210468495455219
California,No,Extended,College,Unemployed,F,0,Suburban,Married,135,18,48,0,4,Personal Auto,Personal L3,Offer1,Branch,970.456654,Sports Car,Medsize,1,Yes,0.9946335714123832
Oregon,No,Extended,Bachelor,Employed,M,20166,Suburban,Married,83,19,28,0,1,Personal Auto,Personal L3,Offer4,Call Center,398.4,Two-Door Car,Medsize,0,No,0.007195467053506748
Washington,No,Basic,High School or Below,Unemployed,F,0,Suburban,Single,74,13,68,0,1,Personal Auto,Personal L1,Offer2,Call Center,355.2,Four-Door Car,Small,0,No,0.007619247617457608
California,Yes,Basic,Bachelor,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal Auto,Personal L2,Offer1,Agent,331.2,Four-Door Car,Medsize,0,No,0.007382759699462609
California,No,Basic,High School or Below,Unemployed,M,0,Suburban,Single,64,1,63,0,2,Corporate Auto,Corporate L3,Offer3,Branch,772.8385099999997,Four-Door Car,Medsize,1,Yes,0.9885106515255858
California,No,Basic,High School or Below,Employed,F,97460,Suburban,Married,114,20,62,0,2,Personal Auto,Personal L3,Offer4,Branch,660.135987,SUV,Medsize,1,Yes,0.9958268995022423
